FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,BwdPktLenMean,FwdPktLenStd,BwdPktLenStd,FlowIATMean,FlowIATStd,FwdIATMean,BwdIATMean,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,router_id,row_id,packet_id,src,dst,sport,dport,proto
0.0,1,0,55,0,55.0,0.0,0.0,0.0,0,0,0,0,55,1,0.0,0.0,ROUTER-001,27,a75b6fc6-ec43-419e-aac1-ca9a29707b45,192.168.24.136,35.223.238.178,15261,443,TCP
0.35204410552978516,1,1,55,66,55.0,66.0,0.0,0.0,0.35204410552978516,0.0,0,0,121,2,343.7069335897818,5.681106340326972,ROUTER-001,28,fe327c11-b5e5-4a65-93e8-ef06c50f8967,192.168.24.136,35.223.238.178,15261,443,TCP
0.0,1,0,230,0,230.0,0.0,0.0,0.0,0,0,0,0,230,1,0.0,0.0,ROUTER-001,29,c27fd00a-f6e8-46cb-946e-3ab0d329e466,192.168.24.136,20.244.10.66,51709,27017,TCP
0.0,1,0,230,0,230.0,0.0,0.0,0.0,0,0,0,0,230,1,0.0,0.0,ROUTER-001,30,e35a0753-733d-4e15-be55-9c65503a6ea6,192.168.24.136,20.244.48.249,45144,27017,TCP
0.0,1,0,230,0,230.0,0.0,0.0,0.0,0,0,0,0,230,1,0.0,0.0,ROUTER-001,31,3ac72103-7beb-42ef-9fa7-8501ff78b2b0,192.168.24.136,20.193.249.218,45142,27017,TCP
0.1680610179901123,1,1,230,1201,230.0,1201.0,0.0,0.0,0.1680610179901123,0.0,0,0,1431,2,8514.764560596625,11.900439637451607,ROUTER-001,32,1a04e307-e634-4730-be6d-6e7eaa0cb528,192.168.24.136,20.244.10.66,51709,27017,TCP
0.16758203506469727,1,1,230,1177,230.0,1177.0,0.0,0.0,0.16758203506469727,0.0,0,0,1407,2,8395.88801661711,11.934453470671086,ROUTER-001,33,4e2a9682-c998-415a-ae12-c5bd5eb65a52,192.168.24.136,20.244.48.249,45144,27017,TCP
0.21774888038635254,2,1,284,1201,142.0,1201.0,88.0,0.0,0.10887444019317627,0.059186577796936035,0.21774888038635254,0,1485,3,6819.782482303283,13.77733834808744,ROUTER-001,34,bc989a12-dee0-4cbd-8be5-409149d91f33,192.168.24.136,20.244.10.66,51709,27017,TCP
0.21740388870239258,2,1,284,1177,142.0,1177.0,88.0,0.0,0.10870194435119629,0.05888009071350098,0.21740388870239258,0,1461,3,6720.210980218411,13.799201191413575,ROUTER-001,35,9793320d-aaec-4d90-b98f-312813a107e9,192.168.24.136,20.244.48.249,45144,27017,TCP
0.2236800193786621,1,1,230,1177,230.0,1177.0,0.0,0.0,0.2236800193786621,0.0,0,0,1407,2,6290.235506543507,8.941344003615503,ROUTER-001,36,6083f2fa-e12a-4f0f-95d9-85c14fd01c9f,192.168.24.136,20.193.249.218,45142,27017,TCP
0.2646200656890869,2,1,284,1177,142.0,1177.0,88.0,0.0,0.13231003284454346,0.09136998653411865,0.2646200656890869,0,1461,3,5521.12326098728,11.337008749460535,ROUTER-001,37,08a4e3fc-7d6f-427f-b768-51e81842a617,192.168.24.136,20.193.249.218,45142,27017,TCP
0.0,1,0,54,0,54.0,0.0,0.0,0.0,0,0,0,0,54,1,0.0,0.0,ROUTER-001,38,cf148351-98a8-4533-9d77-7b342064ccf4,20.244.10.66,192.168.24.136,27017,28639,TCP
0.0,1,0,1177,0,1177.0,0.0,0.0,0.0,0,0,0,0,1177,1,0.0,0.0,ROUTER-001,1,32e7eebd-9a44-4797-9100-979e30e7dae3,20.193.249.218,192.168.24.136,27017,45142,TCP
0.05399799346923828,1,1,1177,54,1177.0,54.0,0.0,0.0,0.05399799346923828,0.0,0,0,1231,2,22797.143392027694,37.03841330954946,ROUTER-001,2,e2c75a58-d6ff-41c2-b981-3fee5d22ba1b,20.193.249.218,192.168.24.136,27017,45142,TCP
0.0,1,0,101,0,101.0,0.0,0.0,0.0,0,0,0,0,101,1,0.0,0.0,ROUTER-001,3,618424d2-7914-4ecc-9da0-841dd5390fa6,192.168.24.136,192.168.24.73,64110,53,UDP
0.0,1,0,101,0,101.0,0.0,0.0,0.0,0,0,0,0,101,1,0.0,0.0,ROUTER-001,4,ab79c290-7efd-4c9d-98cc-cb64f996a0f6,192.168.24.136,192.168.24.73,62237,53,UDP
0.07921123504638672,1,1,101,248,101.0,248.0,0.0,0.0,0.07921123504638672,0.0,0,0,349,2,4405.94064460203,25.24894352207467,ROUTER-001,5,bfdba048-6400-4b1a-a734-5f10d38f8897,192.168.24.136,192.168.24.73,64110,53,UDP
0.0790860652923584,1,1,101,260,101.0,260.0,0.0,0.0,0.0790860652923584,0.0,0,0,361,2,4564.647370753457,25.288905101127185,ROUTER-001,6,0d27733c-c986-4134-9203-e358fd7e5bd3,192.168.24.136,192.168.24.73,62237,53,UDP
