FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat
1,57.144.213.32,192.168.1.100,443,19089,TCP,61.01977205276489,4,3,216,162,54.0,0.0,54,54,54.0,0.0,54,54,10.16996200879415,14.378569745509573,7.009506225585938e-05,30.99996304512024,20.3399240175883,14.374753607221683,0.019144058227539062,31.000052213668823,30.500304460525513,0.4997293949127197,30.000575065612793,31.000033855438232,61.01977205276489,61.000608921051025,378,7,6.19471340655184,0.11471691493614519,1.3333333333333333,1.3333333333333333,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,7.539987564086914e-05,0.009581565856933594,22.505147218704224,30.500234007835388,15.009859919548035,30.00057578086853,30.500313997268677,30.800156927108766,30.250439763069153,30.500304460525513,30.750169157981873,30.900087976455687,0,0,1,0,3,0,0,0,0,0,3,0,7.081031799316406e-05,0.00643467903137207,0.019144058227539062,0.008986891339431723,30.000504970550537,30.500234007835388,30.99996304512024,0.4997290372848511,Web,Other
2,57.144.211.32,192.168.1.100,443,19094,TCP,60.01706409454346,4,3,216,162,54.0,0.0,54,54,54.0,0.0,54,54,10.002844015757242,14.139984786546227,6.794929504394531e-05,30.00036382675171,20.005688031514484,14.13396139152594,0.017248153686523438,30.000510931015015,29.99990999698639,0.0005258321762084961,29.99938416481018,30.000435829162598,60.01706409454346,59.99981999397278,378,7,6.29820877949887,0.11663349591664574,1.3333333333333333,1.3333333333333333,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,9.077787399291992e-05,0.008661627769470215,22.503721833229065,29.999800443649292,15.008276581764221,29.99930500984192,29.999907970428467,30.000269746780397,29.999647080898285,29.99990999698639,30.000172913074493,30.000330662727357,0,0,1,0,3,0,0,0,0,0,3,0,6.794929504394531e-05,0.005821069081624349,0.017248153686523438,0.008080233631230038,29.999237060546875,29.999800443649292,30.00036382675171,0.0005633831024169922,Web,Other
3,57.144.215.32,192.168.1.100,443,19090,TCP,30.01588201522827,3,2,162,108,54.0,0.0,54,54,54.0,0.0,54,54,7.503970503807068,12.987614138088198,7.605552673339844e-05,29.99917507171631,15.007941007614136,14.991364002227783,0.01657700538635254,29.99930500984192,29.999251127243042,0.0,29.999251127243042,29.999251127243042,30.01588201522827,29.999251127243042,270,5,8.995237916480951,0.16657847993483244,1.5,1.5,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,0.00011646747589111328,0.008315443992614746,7.5121694803237915,21.00437283515931,7.512259006500244,15.007941007614136,22.503623008728027,27.001032209396364,29.999251127243042,29.999251127243042,29.999251127243042,29.999251127243042,0,0,1,0,2,0,0,0,0,0,2,0,0.00012993812561035156,0.008353471755981445,0.01657700538635254,0.008223533630371094,29.99917507171631,29.99917507171631,29.99917507171631,0.0,Web,Other
4,163.70.144.60,192.168.1.100,443,19093,TCP,61.05022096633911,4,3,216,162,54.0,0.0,54,54,54.0,0.0,54,54,10.175036827723185,14.375590996309839,5.91278076171875e-05,31.000730991363525,20.35007365544637,14.361585854711775,0.04791998863220215,31.000790119171143,30.501152992248535,0.4996500015258789,30.001502990722656,31.000802993774414,61.05022096633911,61.00230598449707,378,7,6.191623781483372,0.11465969965709948,1.3333333333333333,1.3333333333333333,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,6.61015510559082e-05,0.02396392822265625,22.513043105602264,30.5010849237442,15.024715423583984,30.001510858535767,30.501150488853455,30.800934267044067,30.251327991485596,30.501152992248535,30.750977993011475,30.90087299346924,0,0,1,0,3,0,0,0,0,0,3,0,5.91278076171875e-05,0.016017039616902668,0.04791998863220215,0.022558792200875928,30.001438856124878,30.5010849237442,31.000730991363525,0.49964606761932373,Web,Other
